age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
38,2,15,2,9,0,4,1,0,2415,90,38,>50K
54,2,10,2,11,0,4,1,0,2415,50,38,>50K
50,2,13,2,3,5,4,0,0,2415,20,38,>50K
47,2,13,2,3,0,4,1,0,2415,60,38,>50K
47,3,15,2,9,0,4,1,0,2415,45,38,>50K
67,2,13,6,3,1,4,1,0,2392,40,38,>50K
67,3,13,2,3,0,4,1,0,2392,75,38,>50K
72,4,16,2,9,0,4,1,0,2392,25,38,>50K
46,3,14,2,3,0,4,1,0,2392,50,38,>50K
78,3,13,2,3,0,4,1,0,2392,40,38,>50K
71,3,13,2,3,0,4,1,0,2392,60,38,>50K
83,3,13,2,3,0,4,1,0,2392,55,38,>50K
68,2,14,2,3,0,4,1,0,2392,40,38,>50K
26,2,11,2,0,0,4,1,0,2377,45,38,<=50K
68,5,16,2,9,0,4,1,0,2377,60,38,>50K
49,3,9,2,0,5,4,0,0,2377,40,38,>50K
36,2,9,2,9,0,4,1,0,2377,60,38,<=50K
70,4,13,2,2,0,4,1,0,2377,12,38,>50K
27,2,10,2,0,5,2,0,0,2377,20,38,<=50K
35,1,10,2,3,0,4,1,0,2377,40,38,<=50K
23,2,9,2,11,0,4,1,0,2377,40,38,<=50K
81,2,9,2,3,0,4,1,0,2377,26,38,>50K
66,4,16,2,11,0,4,1,0,2377,25,38,>50K
71,2,9,2,3,0,4,1,0,2377,45,38,>50K
68,2,10,2,11,0,4,1,0,2377,55,38,>50K
52,2,9,2,11,0,2,1,0,2377,40,38,<=50K
40,3,12,2,2,0,4,1,0,2377,50,38,<=50K
21,2,10,2,3,0,4,1,0,2377,48,38,<=50K
35,2,9,2,2,0,4,1,0,2377,40,38,<=50K
70,3,13,2,3,0,4,1,0,2377,50,38,>50K
61,4,9,2,4,0,4,1,0,2352,50,38,<=50K
65,3,9,2,4,0,4,1,0,2352,65,38,<=50K
46,2,3,0,2,1,4,0,0,2339,45,38,<=50K
26,1,13,4,9,1,4,1,0,2339,55,38,<=50K
59,1,9,6,4,4,4,1,0,2339,40,38,<=50K
61,2,3,4,5,1,2,1,0,2339,40,38,<=50K
60,5,13,0,9,1,4,0,0,2339,40,38,<=50K
49,3,10,0,3,1,4,1,0,2339,50,38,<=50K
25,2,13,4,9,3,4,0,0,2339,35,38,<=50K
59,1,9,5,10,2,2,0,0,2339,40,38,<=50K
28,5,10,5,3,3,4,1,0,2339,40,38,<=50K
56,4,14,0,11,4,4,0,0,2339,60,38,<=50K
41,2,9,0,2,1,4,1,0,2339,40,38,<=50K
42,2,9,4,0,2,2,0,0,2339,40,37,<=50K
28,2,15,4,9,1,4,1,0,2339,40,1,<=50K
40,4,15,0,7,1,4,0,0,2339,35,38,<=50K
69,2,13,6,9,1,4,1,0,2282,40,38,>50K
66,1,9,2,2,0,4,1,0,2267,40,38,<=50K
69,2,3,2,6,0,4,1,0,2267,40,38,<=50K
55,1,14,2,9,5,4,0,0,2267,40,38,<=50K
57,0,9,4,0,1,4,1,0,2258,40,38,<=50K
20,4,10,4,4,3,4,1,0,2258,10,38,<=50K
33,2,9,0,2,1,4,1,0,2258,84,38,<=50K
30,4,10,4,11,2,1,1,0,2258,40,34,<=50K
40,2,13,4,12,1,1,0,0,2258,48,29,<=50K
38,2,10,5,6,1,4,1,0,2258,55,38,>50K
46,5,12,0,0,4,4,1,0,2258,38,38,>50K
29,2,13,4,3,1,4,0,0,2258,45,38,>50K
57,0,13,4,0,1,4,1,0,2258,40,38,<=50K
39,2,9,4,2,3,4,1,0,2258,42,38,>50K
47,2,13,0,3,1,4,1,0,2258,40,38,>50K
26,2,13,4,3,1,4,1,0,2258,45,38,>50K
27,4,9,4,2,1,4,1,0,2258,50,38,<=50K
23,2,13,4,9,3,4,0,0,2258,40,38,>50K
34,2,14,4,9,1,4,1,0,2258,50,38,<=50K
33,2,8,0,2,1,4,1,0,2258,42,38,<=50K
38,1,14,4,9,1,4,0,0,2258,60,38,<=50K
57,2,10,6,0,4,4,0,0,2258,38,38,>50K
36,2,9,4,3,1,4,1,0,2258,70,38,<=50K
44,0,13,0,12,1,4,1,0,2258,40,38,>50K
49,5,16,4,3,1,4,0,0,2258,50,38,>50K
44,3,10,4,11,1,4,1,0,2258,60,38,<=50K
55,2,10,6,4,1,4,1,0,2258,62,38,>50K
45,2,9,0,4,1,4,1,0,2258,44,38,>50K
48,2,9,0,3,1,4,0,0,2258,40,38,>50K
31,2,13,2,3,0,4,1,0,2246,45,38,>50K
55,1,9,2,9,2,4,0,0,2246,40,38,>50K
70,4,10,2,3,0,4,1,0,2246,40,38,>50K
70,4,14,2,3,0,4,1,0,2246,8,38,>50K
73,2,13,2,9,0,4,1,0,2246,40,38,>50K
72,4,15,2,9,0,4,1,0,2246,28,38,>50K
31,2,9,5,6,4,4,0,0,2238,40,38,<=50K
28,2,6,6,0,4,4,0,0,2238,35,38,<=50K
23,4,13,4,0,3,4,1,0,2231,40,38,>50K
49,1,5,6,5,4,4,1,0,2231,40,38,>50K
27,1,10,4,10,1,4,1,0,2231,40,38,>50K
90,2,9,4,7,1,2,1,0,2206,40,38,<=50K
68,2,9,6,0,1,4,0,0,2206,30,38,<=50K
65,2,9,0,0,4,4,0,0,2206,59,1,<=50K
67,2,13,0,3,1,4,0,0,2206,5,38,<=50K
66,1,13,6,9,1,2,0,0,2206,25,38,<=50K
24,2,10,4,0,1,4,1,0,2205,24,38,<=50K
44,4,10,0,6,1,4,1,0,2205,35,38,<=50K
35,2,10,4,0,3,4,0,0,2205,40,38,<=50K
20,2,12,4,7,3,4,0,0,2205,18,38,<=50K
38,2,9,0,2,1,4,1,0,2205,40,38,<=50K
39,2,10,4,7,3,2,0,0,2205,40,38,<=50K
32,2,10,4,6,2,4,0,0,2205,40,14,<=50K
42,2,4,4,5,1,2,1,0,2205,40,38,<=50K
42,3,14,0,3,4,1,1,0,2201,60,18,>50K
64,2,7,2,2,0,4,1,0,2179,40,38,<=50K
28,2,4,2,5,0,3,1,0,2179,40,32,<=50K
41,3,11,2,11,0,3,1,0,2179,84,25,<=50K
41,4,4,2,2,0,4,1,0,2179,40,38,<=50K
58,4,2,2,13,0,4,1,0,2179,18,38,<=50K
59,5,10,2,3,0,4,1,0,2179,40,38,<=50K
34,4,9,2,4,5,4,0,0,2179,12,38,<=50K
45,2,9,2,13,0,4,1,0,2179,45,38,<=50K
29,2,9,2,0,5,4,0,0,2179,40,38,<=50K
47,2,6,2,11,0,4,1,0,2179,52,38,<=50K
40,2,10,2,6,0,4,1,0,2179,40,38,<=50K
47,4,3,2,11,0,4,1,0,2179,50,25,<=50K
41,4,9,2,5,0,4,1,0,2179,40,38,<=50K
34,2,10,2,13,0,2,1,0,2179,40,38,<=50K
65,4,10,2,3,0,4,1,0,2174,10,38,>50K
70,2,9,2,5,0,4,1,0,2174,40,38,>50K
75,4,15,2,9,0,4,1,0,2174,50,38,>50K
65,5,9,2,0,0,4,1,0,2174,40,38,>50K
65,0,10,2,3,0,2,1,0,2174,40,38,>50K
73,2,10,2,9,0,4,1,0,2174,50,38,>50K
68,4,11,2,9,0,4,1,0,2149,40,38,<=50K
74,4,9,2,11,0,4,1,0,2149,20,38,<=50K
19,4,7,2,2,3,4,1,0,2129,55,38,<=50K
37,4,9,2,2,0,4,1,0,2129,40,38,<=50K
45,0,12,0,0,4,1,1,0,2080,40,29,<=50K
64,2,14,2,9,0,1,1,0,2057,60,2,<=50K
30,2,9,2,13,0,4,1,0,2057,40,38,<=50K
51,4,10,2,9,5,4,0,0,2057,60,1,<=50K
35,2,7,2,2,0,4,1,0,2057,40,38,<=50K
29,2,9,2,0,5,4,0,0,2057,20,38,<=50K
34,2,10,2,0,5,4,0,0,2057,40,38,<=50K
41,2,9,2,2,0,4,1,0,2051,60,38,<=50K
35,2,10,2,2,0,4,1,0,2051,45,38,<=50K
26,2,10,2,0,0,4,1,0,2051,40,38,<=50K
54,2,9,2,13,0,4,1,0,2051,50,38,<=50K
52,1,9,2,2,0,4,1,0,2051,40,38,<=50K
50,4,9,2,4,0,4,1,0,2051,20,38,<=50K
31,2,10,2,0,0,4,1,0,2051,40,38,<=50K
38,0,9,2,13,0,4,1,0,2051,40,38,<=50K
30,2,10,2,2,0,4,1,0,2051,40,38,<=50K
34,1,13,2,9,0,4,1,0,2051,40,38,<=50K
31,2,10,2,11,0,4,1,0,2051,57,38,<=50K
52,2,9,2,6,0,4,1,0,2051,38,38,<=50K
54,2,9,2,2,0,4,1,0,2051,40,38,<=50K
38,2,9,2,2,0,4,1,0,2051,44,38,<=50K
39,2,9,2,6,0,4,1,0,2051,40,38,<=50K
29,2,11,2,12,0,4,1,0,2051,40,38,<=50K
45,2,9,2,2,0,4,1,0,2051,40,38,<=50K
34,2,9,2,13,0,4,1,0,2051,55,38,<=50K
38,2,9,2,2,0,4,1,0,2051,40,30,<=50K
39,2,6,2,2,0,4,1,0,2051,40,38,<=50K
61,2,9,2,2,0,4,1,0,2051,20,38,<=50K
43,2,7,2,13,0,4,1,0,2042,40,38,<=50K
35,2,10,2,5,0,4,1,0,2042,40,38,<=50K
46,2,10,2,11,0,4,1,0,2042,50,38,<=50K
38,2,9,2,5,0,4,1,0,2042,40,38,<=50K
42,4,9,2,2,0,4,1,0,2042,48,38,<=50K
34,2,12,2,12,0,4,1,0,2042,10,38,<=50K
29,2,4,2,4,0,4,1,0,2042,40,38,<=50K
32,2,7,2,2,0,4,1,0,2042,30,38,<=50K
60,2,9,2,10,0,4,1,0,2042,34,38,<=50K
49,1,9,2,2,0,4,1,0,2002,40,38,<=50K
53,1,9,2,7,0,4,1,0,2002,45,38,<=50K
56,2,4,2,5,0,4,1,0,2002,40,38,<=50K
48,2,7,2,13,0,4,1,0,2002,40,38,<=50K
32,0,13,2,9,0,1,1,0,2002,40,19,<=50K
42,4,9,2,2,0,4,1,0,2002,40,38,<=50K
32,2,12,2,9,0,4,1,0,2002,42,38,<=50K
28,1,12,2,10,0,4,1,0,2002,40,8,<=50K
26,2,11,2,2,0,4,1,0,2002,40,38,<=50K
59,2,13,2,3,0,4,1,0,2002,50,38,<=50K
47,4,13,2,9,0,4,1,0,2002,30,38,<=50K
41,2,9,2,2,0,4,1,0,2002,60,38,<=50K
36,2,9,2,2,3,4,0,0,2002,40,38,<=50K
45,2,13,2,11,0,4,1,0,2002,55,38,<=50K
30,2,12,2,9,0,4,1,0,2002,40,38,<=50K
36,2,9,2,13,0,4,1,0,2002,40,38,<=50K
34,3,9,2,3,0,4,1,0,2002,40,38,<=50K
53,2,9,2,13,0,4,1,0,2002,40,38,<=50K
51,2,9,2,11,0,4,1,0,2002,45,38,<=50K
47,4,16,2,13,0,4,1,0,2002,45,38,<=50K
30,2,9,4,0,4,4,1,0,2001,42,38,<=50K
20,2,9,4,7,4,4,1,0,2001,40,38,<=50K
42,0,14,0,0,1,4,1,0,2001,60,38,<=50K
31,2,7,4,2,1,4,1,0,2001,40,38,<=50K
33,2,13,4,5,1,4,1,0,2001,40,38,<=50K
25,2,12,4,12,1,4,0,0,2001,30,38,<=50K
20,2,9,4,7,1,4,1,0,2001,40,38,<=50K
23,2,9,4,0,3,2,1,0,2001,40,38,<=50K
41,4,10,0,2,1,4,1,0,2001,50,38,<=50K
54,4,9,6,2,1,4,1,0,2001,35,38,<=50K
25,2,9,4,2,1,4,1,0,2001,50,38,<=50K
19,2,10,4,0,3,4,0,0,2001,40,38,<=50K
24,2,9,4,0,1,4,0,0,2001,37,38,<=50K
56,0,13,4,13,1,2,1,0,2001,65,38,<=50K
21,1,10,4,7,1,4,0,0,2001,40,38,<=50K
34,2,9,4,6,1,2,1,0,2001,40,38,<=50K
19,2,9,4,0,3,4,1,0,2001,40,38,<=50K
48,2,9,5,0,1,4,0,0,2001,40,38,<=50K
34,2,13,4,7,1,4,1,0,2001,40,38,<=50K
31,2,9,4,4,1,4,1,0,2001,40,38,<=50K
36,2,9,4,7,1,2,0,0,2001,40,38,<=50K
27,2,9,4,7,1,4,1,0,1980,40,38,<=50K
27,2,10,4,2,3,1,1,0,1980,40,29,<=50K
35,2,13,0,11,1,4,0,0,1980,65,38,<=50K
31,4,13,3,3,1,4,1,0,1980,60,38,<=50K
27,0,9,4,2,1,2,1,0,1980,40,38,<=50K
28,1,12,4,0,1,4,0,0,1980,40,38,<=50K
42,2,9,0,13,1,4,1,0,1980,46,38,<=50K
44,2,10,5,3,1,4,1,0,1980,45,8,<=50K
41,2,13,0,11,1,4,1,0,1980,56,38,<=50K
28,2,13,4,12,1,4,0,0,1980,35,38,<=50K
41,0,9,4,0,1,4,0,0,1980,40,38,<=50K
35,2,6,6,7,1,2,0,0,1980,40,38,<=50K
58,2,14,0,0,1,4,0,0,1980,45,38,<=50K
40,2,9,0,6,1,4,1,0,1980,48,38,<=50K
31,2,11,4,13,3,4,1,0,1980,60,38,<=50K
30,2,9,4,11,1,4,0,0,1980,40,38,<=50K
32,2,10,5,12,1,0,1,0,1980,40,38,<=50K
25,2,10,4,0,1,4,1,0,1980,40,38,<=50K
34,2,9,4,13,3,4,1,0,1980,40,38,<=50K
56,2,10,0,3,1,4,0,0,1980,40,38,<=50K
45,2,9,0,7,1,4,1,0,1980,40,38,<=50K
50,2,9,4,0,1,4,1,0,1980,40,38,<=50K
27,2,6,4,11,2,4,1,0,1980,40,38,<=50K
51,2,10,2,11,0,4,1,0,1977,40,38,>50K
40,2,12,2,12,0,4,1,0,1977,60,38,>50K
41,2,14,2,3,0,4,1,0,1977,65,38,>50K
49,2,14,2,3,0,4,1,0,1977,45,38,>50K
37,2,11,2,2,0,4,1,0,1977,40,38,>50K
36,3,13,2,3,5,4,0,0,1977,45,38,>50K
35,2,15,2,9,0,4,1,0,1977,80,38,>50K
29,3,9,2,11,5,4,0,0,1977,25,38,>50K
50,2,13,2,9,5,4,0,0,1977,40,38,>50K
46,2,13,2,11,0,4,1,0,1977,40,38,>50K
44,4,9,2,3,0,4,1,0,1977,45,38,>50K
42,1,14,2,3,0,4,1,0,1977,40,38,>50K
38,0,15,2,9,0,4,1,0,1977,50,38,>50K
45,2,13,2,3,0,4,1,0,1977,55,38,>50K
43,1,14,2,3,0,4,1,0,1977,60,38,>50K
47,3,15,2,9,0,4,1,0,1977,60,38,>50K
58,3,15,2,9,0,4,1,0,1977,50,38,>50K
48,2,15,2,12,0,4,1,0,1977,40,38,>50K
42,1,13,2,3,0,4,1,0,1977,48,38,>50K
55,2,14,2,3,0,4,1,0,1977,50,38,>50K
51,2,6,2,11,0,4,1,0,1977,40,38,>50K
32,2,14,2,3,0,2,1,0,1977,40,38,>50K
45,1,13,2,3,0,4,1,0,1977,50,38,>50K
56,2,14,2,2,0,4,1,0,1977,44,38,>50K
38,2,14,2,3,0,4,1,0,1977,60,38,>50K
45,2,11,2,11,0,4,1,0,1977,50,38,>50K
49,2,14,2,9,5,4,0,0,1977,40,38,>50K
36,2,9,2,9,0,4,1,0,1977,40,38,>50K
49,2,14,2,3,0,4,1,0,1977,40,38,>50K
30,2,16,2,9,0,1,1,0,1977,40,2,>50K
42,3,15,2,9,0,4,1,0,1977,50,38,>50K
55,2,14,2,3,0,4,1,0,1977,40,38,>50K
34,2,13,2,3,0,4,1,0,1977,45,38,>50K
54,2,16,2,9,0,4,1,0,1977,50,38,>50K
42,4,13,2,3,0,4,1,0,1977,70,38,>50K
25,1,13,2,9,0,4,1,0,1977,40,38,>50K
55,3,9,2,3,0,4,1,0,1977,45,38,>50K
58,5,14,2,9,0,4,1,0,1977,50,38,>50K
62,2,9,2,13,0,4,1,0,1977,60,38,>50K
43,3,15,2,9,0,4,1,0,1977,40,38,>50K
57,1,14,2,9,5,2,0,0,1977,40,38,>50K
42,3,16,2,9,0,4,1,0,1977,60,38,>50K
63,4,13,2,9,0,1,1,0,1977,32,2,>50K
47,4,15,2,9,0,4,1,0,1977,50,38,>50K
37,2,13,2,3,0,4,1,0,1977,50,38,>50K
40,2,13,2,11,0,4,1,0,1977,60,38,>50K
43,2,13,2,9,0,4,1,0,1977,50,38,>50K
43,5,15,2,9,0,4,1,0,1977,70,38,>50K
41,4,15,2,9,0,4,1,0,1977,60,38,>50K
32,2,15,2,9,0,4,1,0,1977,60,38,>50K
47,2,13,2,11,0,4,1,0,1977,40,38,>50K
39,0,10,2,5,0,4,1,0,1977,60,38,>50K
53,2,10,2,3,0,4,1,0,1977,40,38,>50K
34,2,13,2,3,0,4,1,0,1977,45,38,>50K
36,2,13,2,3,0,4,1,0,1977,40,38,>50K
47,1,14,2,3,0,4,1,0,1977,41,38,>50K
52,2,11,2,3,0,4,1,0,1977,45,38,>50K
40,4,15,2,9,0,0,1,0,1977,60,38,>50K
42,3,13,2,9,0,4,1,0,1977,40,38,>50K
51,2,14,2,10,0,4,1,0,1977,40,38,>50K
55,2,14,2,12,0,4,1,0,1977,20,38,>50K
38,2,9,2,11,0,4,1,0,1977,99,38,>50K
52,2,10,2,3,0,4,1,0,1977,50,38,>50K
60,0,9,2,12,0,4,1,0,1977,40,38,>50K
55,2,11,2,9,0,4,1,0,1977,50,10,>50K
47,1,14,2,3,0,2,1,0,1977,50,38,>50K
46,2,14,2,12,0,4,1,0,1977,40,38,>50K
35,2,14,2,9,0,4,1,0,1977,45,38,>50K
59,3,13,2,3,0,4,1,0,1977,50,38,>50K
57,2,14,2,9,0,4,1,0,1977,45,38,>50K
46,2,10,2,9,0,4,1,0,1977,50,38,>50K
46,0,14,2,3,0,4,1,0,1977,40,38,>50K
52,2,9,2,2,0,4,1,0,1977,40,38,>50K
45,2,16,2,9,5,4,0,0,1977,30,38,>50K
37,2,13,2,12,0,4,1,0,1977,40,38,>50K
46,2,14,2,3,0,4,1,0,1977,45,38,>50K
44,2,13,2,9,0,2,1,0,1977,50,38,>50K
45,2,11,2,3,0,4,1,0,1977,50,38,>50K
43,2,9,2,6,0,4,1,0,1977,52,38,>50K
54,1,14,2,9,0,4,1,0,1977,40,38,>50K
50,2,14,2,9,0,4,1,0,1977,40,38,>50K
45,2,13,2,9,0,4,1,0,1977,40,38,>50K
36,2,14,2,9,0,4,1,0,1977,60,38,>50K
27,2,13,2,3,0,4,1,0,1977,50,38,>50K
36,2,13,2,11,0,4,1,0,1977,35,38,>50K
53,2,14,2,3,0,4,1,0,1977,55,38,>50K
51,1,14,2,9,0,4,1,0,1977,35,38,>50K
28,2,13,2,9,5,4,0,0,1977,24,38,>50K
47,4,10,2,2,0,4,1,0,1977,40,38,>50K
45,2,13,2,3,0,4,1,0,1977,60,38,>50K
45,1,14,2,9,5,4,0,0,1977,35,38,>50K
39,4,15,2,9,0,4,1,0,1977,50,38,>50K
39,2,13,2,3,0,4,1,0,1977,40,38,>50K
55,4,14,2,9,0,4,1,0,1977,40,38,>50K
62,2,10,2,3,0,4,1,0,1977,98,38,>50K
49,2,13,2,11,0,1,1,0,1977,50,34,>50K
53,4,14,2,3,0,4,1,0,1977,40,38,>50K
31,2,14,2,3,0,4,1,0,1977,48,38,>50K
42,3,9,2,3,0,4,1,0,1977,60,21,>50K
39,2,13,2,13,0,4,1,0,1977,45,29,>50K
60,4,13,2,3,0,4,1,0,1977,45,38,>50K
26,2,15,2,9,0,4,1,0,1977,40,38,>50K
37,2,14,2,3,0,4,1,0,1977,40,38,>50K
45,5,13,2,3,0,4,1,0,1977,60,38,>50K
37,2,12,2,11,0,4,1,0,1977,45,38,>50K
32,2,13,2,11,0,4,1,0,1977,45,38,>50K
39,3,9,2,3,0,4,1,0,1977,40,38,>50K
45,2,14,2,3,0,4,1,0,1977,43,38,>50K
41,2,13,2,9,0,4,1,0,1977,45,38,>50K
36,4,9,2,4,0,4,1,0,1977,65,38,>50K
51,5,14,2,9,0,4,1,0,1977,60,38,>50K
39,2,10,2,3,0,4,1,0,1977,62,38,>50K
56,4,15,2,9,0,4,1,0,1977,50,38,>50K
53,0,9,2,0,0,2,1,0,1977,40,38,>50K
40,4,11,2,9,5,4,0,0,1977,15,38,>50K
57,2,14,2,3,0,2,1,0,1977,40,38,>50K
50,1,9,2,2,0,4,1,0,1977,35,38,>50K
34,2,15,2,9,0,4,1,0,1977,55,38,>50K
35,2,13,2,3,5,4,0,0,1977,30,38,>50K
30,4,9,2,9,0,4,1,0,1977,15,38,>50K
53,1,14,2,9,0,4,1,0,1977,55,38,>50K
31,5,16,2,9,0,4,1,0,1977,70,38,>50K
37,2,13,2,3,0,4,1,0,1977,60,38,>50K
34,2,13,2,11,0,4,1,0,1977,50,38,>50K
36,2,14,2,9,0,4,1,0,1977,50,38,>50K
40,2,13,2,3,0,4,1,0,1977,50,38,>50K
51,2,10,2,2,0,4,1,0,1977,60,38,>50K
33,2,9,2,11,0,4,1,0,1977,45,38,>50K
40,2,16,2,9,5,4,0,0,1977,20,38,>50K
46,3,14,2,11,0,4,1,0,1977,60,38,>50K
54,2,16,2,3,0,4,1,0,1977,50,38,>50K
39,2,14,2,9,5,4,0,0,1977,24,38,>50K
54,3,10,2,11,0,4,1,0,1977,40,38,>50K
31,2,16,2,9,0,4,1,0,1977,99,38,>50K
51,2,14,2,3,0,4,1,0,1977,50,38,>50K
36,2,14,2,0,0,4,1,0,1977,40,23,>50K
41,3,13,2,3,0,1,1,0,1977,60,35,>50K
56,4,10,2,3,5,4,0,0,1977,50,38,>50K
38,2,13,2,12,0,4,1,0,1977,40,38,>50K
47,2,9,2,2,0,4,1,0,1977,45,38,>50K
39,1,14,2,9,0,4,1,0,1977,45,38,>50K
59,2,13,2,3,0,4,1,0,1977,50,38,>50K
54,2,16,2,3,0,4,1,0,1977,43,38,>50K
54,4,13,2,3,5,4,0,0,1977,35,38,>50K
31,2,13,2,3,0,4,1,0,1977,55,38,>50K
59,3,10,2,3,0,4,1,0,1977,48,38,>50K
46,2,14,2,9,0,4,1,0,1977,50,38,>50K
57,2,16,2,12,0,4,1,0,1977,40,10,>50K
36,2,14,2,9,5,4,0,0,1977,44,38,>50K
44,2,13,2,6,0,4,1,0,1977,40,38,>50K
33,2,15,2,9,0,4,1,0,1977,50,38,>50K
54,2,10,2,12,0,4,1,0,1977,18,38,>50K
55,2,14,2,3,0,4,1,0,1977,60,38,>50K
36,2,14,2,11,0,4,1,0,1977,50,38,>50K
